,if freq (ghz),psg power (dbm),cable loss (db),input power(dbm),output power(dbm),gain(db)
0,4.0,-20.0,-1.2395500741821304,-21.23955007418213,-53.095,-31.85544992581787
1,4.0,-19.5,-1.2395500741821304,-20.73955007418213,-52.584,-31.844449925817873
2,4.0,-19.0,-1.2395500741821304,-20.23955007418213,-52.117,-31.877449925817867
3,4.0,-18.5,-1.2395500741821304,-19.73955007418213,-51.578,-31.838449925817873
4,4.0,-18.0,-1.2395500741821304,-19.23955007418213,-51.088,-31.84844992581787
5,4.0,-17.5,-1.2395500741821304,-18.73955007418213,-50.564,-31.82444992581787
6,4.0,-17.0,-1.2395500741821304,-18.23955007418213,-50.062,-31.822449925817867
7,4.0,-16.5,-1.2395500741821304,-17.73955007418213,-49.599,-31.859449925817867
8,4.0,-16.0,-1.2395500741821304,-17.23955007418213,-49.087,-31.847449925817873
9,4.0,-15.5,-1.2395500741821304,-16.73955007418213,-48.566,-31.826449925817872
10,4.0,-15.0,-1.2395500741821304,-16.23955007418213,-48.096,-31.856449925817866
11,4.0,-14.5,-1.2395500741821304,-15.73955007418213,-47.574,-31.834449925817868
12,4.0,-14.0,-1.2395500741821304,-15.23955007418213,-47.081,-31.841449925817873
13,4.0,-13.5,-1.2395500741821304,-14.73955007418213,-46.567,-31.82744992581787
14,4.0,-13.0,-1.2395500741821304,-14.23955007418213,-46.07,-31.83044992581787
15,4.0,-12.5,-1.2395500741821304,-13.73955007418213,-45.593,-31.853449925817873
16,4.0,-12.0,-1.2395500741821304,-13.23955007418213,-45.101,-31.86144992581787
17,4.0,-11.5,-1.2395500741821304,-12.73955007418213,-44.591,-31.85144992581787
18,4.0,-11.0,-1.2395500741821304,-12.23955007418213,-44.075,-31.835449925817873
19,4.0,-10.5,-1.2395500741821304,-11.73955007418213,-43.576,-31.83644992581787
20,4.0,-10.0,-1.2395500741821304,-11.23955007418213,-43.068,-31.828449925817868
21,4.0,-9.5,-1.2395500741821304,-10.73955007418213,-42.51,-31.770449925817868
22,4.0,-9.0,-1.2395500741821304,-10.23955007418213,-42.026,-31.786449925817873
23,4.0,-8.5,-1.2395500741821304,-9.73955007418213,-41.502,-31.762449925817872
24,4.0,-8.0,-1.2395500741821304,-9.23955007418213,-41.04,-31.80044992581787
25,4.0,-7.5,-1.2395500741821304,-8.73955007418213,-40.538,-31.798449925817867
26,4.0,-7.0,-1.2395500741821304,-8.23955007418213,-40.075,-31.835449925817873
27,4.0,-6.5,-1.2395500741821304,-7.73955007418213,-39.556,-31.816449925817867
28,4.0,-6.0,-1.2395500741821304,-7.23955007418213,-39.019,-31.779449925817868
29,4.0,-5.5,-1.2395500741821304,-6.73955007418213,-38.531,-31.79144992581787
30,4.0,-5.0,-1.2395500741821304,-6.23955007418213,-38.047,-31.807449925817867
31,4.0,-4.5,-1.2395500741821304,-5.73955007418213,-37.55,-31.810449925817867
32,4.0,-4.0,-1.2395500741821304,-5.23955007418213,-37.062,-31.822449925817867
33,4.0,-3.5,-1.2395500741821304,-4.73955007418213,-36.558,-31.81844992581787
34,4.0,-3.0,-1.2395500741821304,-4.23955007418213,-36.102,-31.862449925817867
35,4.0,-2.5,-1.2395500741821304,-3.73955007418213,-35.562,-31.822449925817867
36,4.0,-2.0,-1.2395500741821304,-3.23955007418213,-35.063,-31.823449925817872
37,4.0,-1.5,-1.2395500741821304,-2.73955007418213,-34.564,-31.82444992581787
38,4.0,-1.0,-1.2395500741821304,-2.23955007418213,-34.098,-31.85844992581787
39,4.0,-0.5,-1.2395500741821304,-1.7395500741821304,-33.589,-31.84944992581787
40,4.0,0.0,-1.2395500741821304,-1.2395500741821304,-33.114,-31.874449925817867
41,4.0,0.5,-1.2395500741821304,-0.7395500741821304,-32.614,-31.874449925817867
42,4.0,1.0,-1.2395500741821304,-0.23955007418213037,-32.122,-31.88244992581787
43,4.0,1.5,-1.2395500741821304,0.26044992581786963,-31.643,-31.90344992581787
44,4.0,2.0,-1.2395500741821304,0.7604499258178696,-31.179,-31.93944992581787
45,4.0,2.5,-1.2395500741821304,1.2604499258178696,-30.695,-31.95544992581787
46,4.0,3.0,-1.2395500741821304,1.7604499258178696,-30.226,-31.98644992581787
47,4.0,3.5,-1.2395500741821304,2.26044992581787,-29.741,-32.001449925817866
48,4.0,4.0,-1.2395500741821304,2.76044992581787,-29.269,-32.02944992581787
49,4.0,4.5,-1.2395500741821304,3.26044992581787,-28.801,-32.06144992581787
50,4.0,5.0,-1.2395500741821304,3.76044992581787,-28.335,-32.095449925817874
51,4.0,5.5,-1.2395500741821304,4.26044992581787,-27.891,-32.15144992581787
52,4.0,6.0,-1.2395500741821304,4.76044992581787,-27.441,-32.20144992581787
53,4.0,6.5,-1.2395500741821304,5.26044992581787,-26.996,-32.25644992581787
54,4.0,7.0,-1.2395500741821304,5.76044992581787,-26.544,-32.30444992581787
