,if freq (ghz),psg power (dbm),cable loss (db),input power(dbm),output power(dbm),gain(db)
0,4.0,-20.0,-1.2395500741821304,-21.23955007418213,-53.58,-32.340449925817865
1,4.0,-19.5,-1.2395500741821304,-20.73955007418213,-53.166,-32.42644992581786
2,4.0,-19.0,-1.2395500741821304,-20.23955007418213,-52.662,-32.42244992581787
3,4.0,-18.5,-1.2395500741821304,-19.73955007418213,-52.127,-32.387449925817876
4,4.0,-18.0,-1.2395500741821304,-19.23955007418213,-51.614,-32.37444992581787
5,4.0,-17.5,-1.2395500741821304,-18.73955007418213,-51.122,-32.382449925817866
6,4.0,-17.0,-1.2395500741821304,-18.23955007418213,-50.604,-32.364449925817866
7,4.0,-16.5,-1.2395500741821304,-17.73955007418213,-50.13,-32.390449925817876
8,4.0,-16.0,-1.2395500741821304,-17.23955007418213,-49.619,-32.379449925817866
9,4.0,-15.5,-1.2395500741821304,-16.73955007418213,-49.124,-32.384449925817876
10,4.0,-15.0,-1.2395500741821304,-16.23955007418213,-48.628,-32.388449925817866
11,4.0,-14.5,-1.2395500741821304,-15.73955007418213,-48.134,-32.39444992581787
12,4.0,-14.0,-1.2395500741821304,-15.23955007418213,-47.607,-32.367449925817866
13,4.0,-13.5,-1.2395500741821304,-14.73955007418213,-47.128,-32.388449925817866
14,4.0,-13.0,-1.2395500741821304,-14.23955007418213,-46.613,-32.373449925817866
15,4.0,-12.5,-1.2395500741821304,-13.73955007418213,-46.108,-32.36844992581787
16,4.0,-12.0,-1.2395500741821304,-13.23955007418213,-45.644,-32.40444992581787
17,4.0,-11.5,-1.2395500741821304,-12.73955007418213,-45.137,-32.39744992581787
18,4.0,-11.0,-1.2395500741821304,-12.23955007418213,-44.631,-32.39144992581787
19,4.0,-10.5,-1.2395500741821304,-11.73955007418213,-44.12,-32.38044992581787
20,4.0,-10.0,-1.2395500741821304,-11.23955007418213,-43.599,-32.35944992581787
21,4.0,-9.5,-1.2395500741821304,-10.73955007418213,-43.118,-32.378449925817876
22,4.0,-9.0,-1.2395500741821304,-10.23955007418213,-42.591,-32.351449925817874
23,4.0,-8.5,-1.2395500741821304,-9.73955007418213,-42.089,-32.349449925817865
24,4.0,-8.0,-1.2395500741821304,-9.23955007418213,-41.58,-32.340449925817865
25,4.0,-7.5,-1.2395500741821304,-8.73955007418213,-41.083,-32.343449925817865
26,4.0,-7.0,-1.2395500741821304,-8.23955007418213,-40.6,-32.360449925817875
27,4.0,-6.5,-1.2395500741821304,-7.73955007418213,-40.105,-32.36544992581787
28,4.0,-6.0,-1.2395500741821304,-7.23955007418213,-39.599,-32.35944992581787
29,4.0,-5.5,-1.2395500741821304,-6.73955007418213,-39.119,-32.379449925817866
30,4.0,-5.0,-1.2395500741821304,-6.23955007418213,-38.592,-32.352449925817865
31,4.0,-4.5,-1.2395500741821304,-5.73955007418213,-38.096,-32.35644992581787
32,4.0,-4.0,-1.2395500741821304,-5.23955007418213,-37.61,-32.370449925817866
33,4.0,-3.5,-1.2395500741821304,-4.73955007418213,-37.123,-32.38344992581787
34,4.0,-3.0,-1.2395500741821304,-4.23955007418213,-36.624,-32.384449925817876
35,4.0,-2.5,-1.2395500741821304,-3.73955007418213,-36.13,-32.390449925817876
36,4.0,-2.0,-1.2395500741821304,-3.23955007418213,-35.615,-32.375449925817875
37,4.0,-1.5,-1.2395500741821304,-2.73955007418213,-35.128,-32.388449925817866
38,4.0,-1.0,-1.2395500741821304,-2.23955007418213,-34.641,-32.40144992581787
39,4.0,-0.5,-1.2395500741821304,-1.7395500741821304,-34.155,-32.41544992581787
40,4.0,0.0,-1.2395500741821304,-1.2395500741821304,-33.673,-32.43344992581787
41,4.0,0.5,-1.2395500741821304,-0.7395500741821304,-33.164,-32.42444992581787
42,4.0,1.0,-1.2395500741821304,-0.23955007418213037,-32.691,-32.45144992581787
43,4.0,1.5,-1.2395500741821304,0.26044992581786963,-32.187,-32.447449925817864
44,4.0,2.0,-1.2395500741821304,0.7604499258178696,-31.72,-32.480449925817865
45,4.0,2.5,-1.2395500741821304,1.2604499258178696,-31.218,-32.47844992581787
46,4.0,3.0,-1.2395500741821304,1.7604499258178696,-30.775,-32.535449925817865
47,4.0,3.5,-1.2395500741821304,2.26044992581787,-30.28,-32.54044992581787
48,4.0,4.0,-1.2395500741821304,2.76044992581787,-29.811,-32.57144992581787
49,4.0,4.5,-1.2395500741821304,3.26044992581787,-29.348,-32.608449925817865
50,4.0,5.0,-1.2395500741821304,3.76044992581787,-28.87,-32.63044992581787
51,4.0,5.5,-1.2395500741821304,4.26044992581787,-28.422,-32.68244992581787
52,4.0,6.0,-1.2395500741821304,4.76044992581787,-27.962,-32.72244992581787
53,4.0,6.5,-1.2395500741821304,5.26044992581787,-27.513,-32.77344992581787
54,4.0,7.0,-1.2395500741821304,5.76044992581787,-27.063,-32.82344992581787
55,4.0,7.5,-1.2395500741821304,6.26044992581787,-26.611,-32.87144992581787
56,4.0,8.0,-1.2395500741821304,6.76044992581787,-26.185,-32.94544992581787
57,4.0,8.5,-1.2395500741821304,7.26044992581787,-25.765,-33.02544992581787
58,4.0,9.0,-1.2395500741821304,7.76044992581787,-25.343,-33.10344992581787
59,4.0,9.5,-1.2395500741821304,8.26044992581787,-24.939,-33.19944992581787
60,4.0,10.0,-1.2395500741821304,8.76044992581787,-24.543,-33.30344992581787
61,4.0,10.5,-1.2395500741821304,9.26044992581787,-24.147,-33.40744992581787
62,4.0,11.0,-1.2395500741821304,9.76044992581787,-23.784,-33.54444992581787
63,4.0,11.5,-1.2395500741821304,10.26044992581787,-23.415,-33.67544992581787
64,4.0,12.0,-1.2395500741821304,10.76044992581787,-23.069,-33.82944992581787
65,4.0,12.5,-1.2395500741821304,11.26044992581787,-22.743,-34.00344992581787
66,4.0,13.0,-1.2395500741821304,11.76044992581787,-22.427,-34.18744992581787
67,4.0,13.5,-1.2395500741821304,12.26044992581787,-22.132,-34.39244992581787
68,4.0,14.0,-1.2395500741821304,12.76044992581787,-21.868,-34.62844992581787
69,4.0,14.5,-1.2395500741821304,13.26044992581787,-21.606,-34.866449925817875
70,4.0,15.0,-1.2395500741821304,13.76044992581787,-21.385,-35.14544992581787
71,4.5,-20.0,-1.3229409491328878,-21.32294094913289,-52.978,-31.655059050867113
72,4.5,-19.5,-1.3229409491328878,-20.82294094913289,-52.508,-31.685059050867114
73,4.5,-19.0,-1.3229409491328878,-20.32294094913289,-52.013,-31.69005905086711
74,4.5,-18.5,-1.3229409491328878,-19.82294094913289,-51.521,-31.698059050867112
75,4.5,-18.0,-1.3229409491328878,-19.32294094913289,-51.014,-31.691059050867114
76,4.5,-17.5,-1.3229409491328878,-18.82294094913289,-50.521,-31.698059050867112
77,4.5,-17.0,-1.3229409491328878,-18.32294094913289,-50.023,-31.700059050867115
78,4.5,-16.5,-1.3229409491328878,-17.82294094913289,-49.491,-31.66805905086711
79,4.5,-16.0,-1.3229409491328878,-17.32294094913289,-49.021,-31.698059050867112
80,4.5,-15.5,-1.3229409491328878,-16.82294094913289,-48.527,-31.704059050867112
81,4.5,-15.0,-1.3229409491328878,-16.32294094913289,-47.991,-31.66805905086711
82,4.5,-14.5,-1.3229409491328878,-15.822940949132889,-47.492,-31.66905905086711
83,4.5,-14.0,-1.3229409491328878,-15.322940949132889,-46.995,-31.67205905086711
84,4.5,-13.5,-1.3229409491328878,-14.822940949132889,-46.521,-31.698059050867112
85,4.5,-13.0,-1.3229409491328878,-14.322940949132889,-46.014,-31.691059050867114
86,4.5,-12.5,-1.3229409491328878,-13.822940949132889,-45.502,-31.679059050867114
87,4.5,-12.0,-1.3229409491328878,-13.322940949132889,-44.991,-31.66805905086711
88,4.5,-11.5,-1.3229409491328878,-12.822940949132889,-44.498,-31.67505905086711
89,4.5,-11.0,-1.3229409491328878,-12.322940949132889,-44.017,-31.694059050867114
90,4.5,-10.5,-1.3229409491328878,-11.822940949132889,-43.504,-31.68105905086711
91,4.5,-10.0,-1.3229409491328878,-11.322940949132889,-43.015,-31.692059050867112
92,4.5,-9.5,-1.3229409491328878,-10.822940949132889,-42.482,-31.65905905086711
93,4.5,-9.0,-1.3229409491328878,-10.322940949132889,-41.963,-31.640059050867112
94,4.5,-8.5,-1.3229409491328878,-9.822940949132889,-41.473,-31.65005905086711
95,4.5,-8.0,-1.3229409491328878,-9.322940949132889,-40.98,-31.657059050867108
96,4.5,-7.5,-1.3229409491328878,-8.822940949132889,-40.482,-31.65905905086711
97,4.5,-7.0,-1.3229409491328878,-8.322940949132889,-39.98,-31.657059050867108
98,4.5,-6.5,-1.3229409491328878,-7.822940949132888,-39.464,-31.64105905086711
99,4.5,-6.0,-1.3229409491328878,-7.322940949132888,-38.969,-31.646059050867112
100,4.5,-5.5,-1.3229409491328878,-6.822940949132888,-38.473,-31.65005905086711
101,4.5,-5.0,-1.3229409491328878,-6.322940949132888,-37.993,-31.670059050867113
102,4.5,-4.5,-1.3229409491328878,-5.822940949132888,-37.489,-31.66605905086711
103,4.5,-4.0,-1.3229409491328878,-5.322940949132888,-36.991,-31.66805905086711
104,4.5,-3.5,-1.3229409491328878,-4.822940949132888,-36.493,-31.670059050867113
105,4.5,-3.0,-1.3229409491328878,-4.322940949132888,-35.978,-31.655059050867113
106,4.5,-2.5,-1.3229409491328878,-3.822940949132888,-35.492,-31.66905905086711
107,4.5,-2.0,-1.3229409491328878,-3.322940949132888,-35.01,-31.68705905086711
108,4.5,-1.5,-1.3229409491328878,-2.822940949132888,-34.528,-31.70505905086711
109,4.5,-1.0,-1.3229409491328878,-2.322940949132888,-34.025,-31.70205905086711
110,4.5,-0.5,-1.3229409491328878,-1.8229409491328878,-33.547,-31.72405905086711
111,4.5,0.0,-1.3229409491328878,-1.3229409491328878,-33.045,-31.722059050867113
112,4.5,0.5,-1.3229409491328878,-0.8229409491328878,-32.572,-31.749059050867114
113,4.5,1.0,-1.3229409491328878,-0.32294094913288784,-32.089,-31.76605905086711
114,4.5,1.5,-1.3229409491328878,0.17705905086711216,-31.608,-31.785059050867112
115,4.5,2.0,-1.3229409491328878,0.6770590508671122,-31.131,-31.80805905086711
116,4.5,2.5,-1.3229409491328878,1.1770590508671122,-30.649,-31.826059050867112
117,4.5,3.0,-1.3229409491328878,1.6770590508671122,-30.172,-31.849059050867112
118,4.5,3.5,-1.3229409491328878,2.177059050867112,-29.696,-31.873059050867113
119,4.5,4.0,-1.3229409491328878,2.677059050867112,-29.217,-31.89405905086711
