Freq(Hz),Average Gain (dB)
10000000,-0.048926946
51658333.33,-0.131995703
93316666.67,-0.179612923
134975000,-0.22195129
176633333.3,-0.252137943
218291666.7,-0.274487067
259950000,-0.30618612
301608333.3,-0.328647367
343266666.7,-0.358183053
384925000,-0.377100897
426583333.3,-0.39743802
468241666.7,-0.416581043
509900000,-0.437661873
551558333.3,-0.456862737
593216666.7,-0.470231213
634875000,-0.49071113
676533333.3,-0.500462853
718191666.7,-0.519112557
759850000,-0.533475677
801508333.3,-0.54628237
843166666.7,-0.561377823
884825000,-0.576004107
926483333.3,-0.589774647
968141666.7,-0.605872133
1009800000,-0.61533888
1051458333,-0.63064162
1093116667,-0.640043617
1134775000,-0.653979917
1176433333,-0.66397081
1218091667,-0.677371717
1259750000,-0.691615503
1301408333,-0.701188487
1343066667,-0.71257808
1384725000,-0.72472624
1426383333,-0.73534451
1468041667,-0.74583421
1509700000,-0.759240547
1551358333,-0.770849367
1593016667,-0.78062302
1634675000,-0.790447553
1676333333,-0.80162078
1717991667,-0.810953797
1759650000,-0.82292072
1801308333,-0.831968087
1842966667,-0.83880804
1884625000,-0.84708649
1926283333,-0.855905753
1967941667,-0.86493196
2009600000,-0.869068443
2051258333,-0.877116477
2092916667,-0.88874024
2134575000,-0.896955787
2176233333,-0.908034843
2217891667,-0.917642097
2259550000,-0.92277215
2301208333,-0.93419971
2342866667,-0.944393097
2384525000,-0.957044007
2426183333,-0.958065367
2467841667,-0.9699501
2509500000,-0.978762307
2551158333,-0.984251477
2592816667,-0.99657638
2634475000,-1.004136727
2676133333,-1.011927387
2717791667,-1.01776411
2759450000,-1.031334973
2801108333,-1.036850633
2842766667,-1.03964097
2884425000,-1.0510254
2926083333,-1.057065233
2967741667,-1.065399133
3009400000,-1.074096333
3051058333,-1.085788667
3092716667,-1.094667267
3134375000,-1.098280167
3176033333,-1.104319
3217691667,-1.1116939
3259350000,-1.117559633
3301008333,-1.128605467
3342666667,-1.1337597
3384325000,-1.141895067
3425983333,-1.150592267
