,if freq (ghz),psg power (dbm),cable loss (db),input power(dbm),output power(dbm),gain(db)
0,4.0,-20.0,-1.2395500741821304,-18.76044992581787,-53.284,-34.523550074182126
1,4.0,-18.0,-1.2395500741821304,-16.76044992581787,-51.441,-34.680550074182136
2,4.0,-16.0,-1.2395500741821304,-14.76044992581787,-49.401,-34.64055007418213
3,4.0,-14.0,-1.2395500741821304,-12.76044992581787,-47.371,-34.61055007418213
4,4.0,-12.0,-1.2395500741821304,-10.76044992581787,-45.364,-34.603550074182124
5,4.0,-10.0,-1.2395500741821304,-8.76044992581787,-43.383,-34.62255007418213
6,4.0,-8.0,-1.2395500741821304,-6.76044992581787,-41.307,-34.546550074182136
7,4.0,-6.0,-1.2395500741821304,-4.76044992581787,-39.35,-34.58955007418213
8,4.0,-4.0,-1.2395500741821304,-2.76044992581787,-37.351,-34.59055007418213
9,4.0,-2.0,-1.2395500741821304,-0.7604499258178696,-35.368,-34.607550074182136
10,4.0,0.0,-1.2395500741821304,1.2395500741821304,-33.412,-34.65155007418213
11,5.0,-20.0,-1.3875342170103973,-18.612465782989602,-52.571,-33.958534217010396
12,5.0,-18.0,-1.3875342170103973,-16.612465782989602,-50.607,-33.9945342170104
13,5.0,-16.0,-1.3875342170103973,-14.612465782989602,-48.617,-34.004534217010395
14,5.0,-14.0,-1.3875342170103973,-12.612465782989602,-46.596,-33.983534217010394
15,5.0,-12.0,-1.3875342170103973,-10.612465782989602,-44.605,-33.992534217010395
16,5.0,-10.0,-1.3875342170103973,-8.612465782989602,-42.601,-33.9885342170104
17,5.0,-8.0,-1.3875342170103973,-6.612465782989602,-40.558,-33.9455342170104
18,5.0,-6.0,-1.3875342170103973,-4.612465782989602,-38.564,-33.9515342170104
19,5.0,-4.0,-1.3875342170103973,-2.6124657829896027,-36.583,-33.970534217010396
20,5.0,-2.0,-1.3875342170103973,-0.6124657829896027,-34.595,-33.9825342170104
21,5.0,0.0,-1.3875342170103973,1.3875342170103973,-32.628,-34.0155342170104
22,6.0,-20.0,-1.5321552028589769,-18.467844797141023,-53.699,-35.23115520285897
23,6.0,-18.0,-1.5321552028589769,-16.467844797141023,-51.748,-35.28015520285898
24,6.0,-16.0,-1.5321552028589769,-14.467844797141023,-49.719,-35.25115520285898
25,6.0,-14.0,-1.5321552028589769,-12.467844797141023,-47.678,-35.21015520285897
26,6.0,-12.0,-1.5321552028589769,-10.467844797141023,-45.718,-35.25015520285898
27,6.0,-10.0,-1.5321552028589769,-8.467844797141023,-43.733,-35.26515520285898
28,6.0,-8.0,-1.5321552028589769,-6.467844797141023,-41.66,-35.19215520285897
29,6.0,-6.0,-1.5321552028589769,-4.467844797141023,-39.687,-35.21915520285897
30,6.0,-4.0,-1.5321552028589769,-2.467844797141023,-37.697,-35.229155202858976
31,6.0,-2.0,-1.5321552028589769,-0.4678447971410231,-35.702,-35.23415520285897
32,6.0,0.0,-1.5321552028589769,1.5321552028589769,-33.758,-35.290155202858976
33,7.0,-20.0,-1.6571740904585646,-18.342825909541435,-56.491,-38.14817409045857
34,7.0,-18.0,-1.6571740904585646,-16.342825909541435,-54.561,-38.21817409045856
35,7.0,-16.0,-1.6571740904585646,-14.342825909541435,-52.547,-38.204174090458565
36,7.0,-14.0,-1.6571740904585646,-12.342825909541435,-50.552,-38.20917409045856
37,7.0,-12.0,-1.6571740904585646,-10.342825909541435,-48.541,-38.198174090458565
38,7.0,-10.0,-1.6571740904585646,-8.342825909541435,-46.56,-38.21717409045857
39,7.0,-8.0,-1.6571740904585646,-6.342825909541435,-44.515,-38.17217409045857
40,7.0,-6.0,-1.6571740904585646,-4.342825909541435,-42.506,-38.16317409045857
41,7.0,-4.0,-1.6571740904585646,-2.3428259095414354,-40.512,-38.16917409045857
42,7.0,-2.0,-1.6571740904585646,-0.34282590954143544,-38.51,-38.16717409045856
43,7.0,0.0,-1.6571740904585646,1.6571740904585646,-36.537,-38.19417409045856
44,8.0,-20.0,-1.7729990061512013,-18.227000993848797,-60.532,-42.3049990061512
45,8.0,-18.0,-1.7729990061512013,-16.227000993848797,-58.699,-42.4719990061512
46,8.0,-16.0,-1.7729990061512013,-14.2270009938488,-56.622,-42.3949990061512
47,8.0,-14.0,-1.7729990061512013,-12.2270009938488,-54.71,-42.4829990061512
48,8.0,-12.0,-1.7729990061512013,-10.2270009938488,-52.644,-42.4169990061512
49,8.0,-10.0,-1.7729990061512013,-8.2270009938488,-50.679,-42.451999006151205
50,8.0,-8.0,-1.7729990061512013,-6.227000993848799,-48.606,-42.378999006151204
51,8.0,-6.0,-1.7729990061512013,-4.227000993848799,-46.633,-42.405999006151205
52,8.0,-4.0,-1.7729990061512013,-2.2270009938487987,-44.634,-42.4069990061512
53,8.0,-2.0,-1.7729990061512013,-0.22700099384879868,-42.659,-42.4319990061512
54,8.0,0.0,-1.7729990061512013,1.7729990061512013,-40.674,-42.4469990061512
