,if freq (ghz),psg power (dbm),cable loss (db),input power(dbm),output power(dbm),gain(db)
0,4.0,-20.0,-1.2395500741821304,-21.23955007418213,-53.376,-32.13644992581787
1,4.0,-19.5,-1.2395500741821304,-20.73955007418213,-52.963,-32.223449925817874
2,4.0,-19.0,-1.2395500741821304,-20.23955007418213,-52.43,-32.19044992581787
3,4.0,-18.5,-1.2395500741821304,-19.73955007418213,-51.93,-32.19044992581787
4,4.0,-18.0,-1.2395500741821304,-19.23955007418213,-51.422,-32.18244992581786
5,4.0,-17.5,-1.2395500741821304,-18.73955007418213,-50.916,-32.17644992581786
6,4.0,-17.0,-1.2395500741821304,-18.23955007418213,-50.402,-32.16244992581787
7,4.0,-16.5,-1.2395500741821304,-17.73955007418213,-49.929,-32.18944992581787
8,4.0,-16.0,-1.2395500741821304,-17.23955007418213,-49.447,-32.20744992581787
9,4.0,-15.5,-1.2395500741821304,-16.73955007418213,-48.928,-32.188449925817864
10,4.0,-15.0,-1.2395500741821304,-16.23955007418213,-48.431,-32.191449925817864
11,4.0,-14.5,-1.2395500741821304,-15.73955007418213,-47.905,-32.16544992581787
12,4.0,-14.0,-1.2395500741821304,-15.23955007418213,-47.405,-32.16544992581787
13,4.0,-13.5,-1.2395500741821304,-14.73955007418213,-46.922,-32.18244992581786
14,4.0,-13.0,-1.2395500741821304,-14.23955007418213,-46.413,-32.17344992581786
15,4.0,-12.5,-1.2395500741821304,-13.73955007418213,-45.921,-32.18144992581787
16,4.0,-12.0,-1.2395500741821304,-13.23955007418213,-45.427,-32.18744992581787
17,4.0,-11.5,-1.2395500741821304,-12.73955007418213,-44.926,-32.18644992581787
18,4.0,-11.0,-1.2395500741821304,-12.23955007418213,-44.422,-32.18244992581786
19,4.0,-10.5,-1.2395500741821304,-11.73955007418213,-43.916,-32.17644992581786
20,4.0,-10.0,-1.2395500741821304,-11.23955007418213,-43.424,-32.18444992581787
21,4.0,-9.5,-1.2395500741821304,-10.73955007418213,-42.891,-32.15144992581787
22,4.0,-9.0,-1.2395500741821304,-10.23955007418213,-42.383,-32.143449925817876
23,4.0,-8.5,-1.2395500741821304,-9.73955007418213,-41.881,-32.14144992581787
24,4.0,-8.0,-1.2395500741821304,-9.23955007418213,-41.378,-32.138449925817866
25,4.0,-7.5,-1.2395500741821304,-8.73955007418213,-40.872,-32.132449925817866
26,4.0,-7.0,-1.2395500741821304,-8.23955007418213,-40.385,-32.14544992581787
27,4.0,-6.5,-1.2395500741821304,-7.73955007418213,-39.893,-32.15344992581787
28,4.0,-6.0,-1.2395500741821304,-7.23955007418213,-39.412,-32.17244992581787
29,4.0,-5.5,-1.2395500741821304,-6.73955007418213,-38.901,-32.16144992581788
30,4.0,-5.0,-1.2395500741821304,-6.23955007418213,-38.385,-32.14544992581787
31,4.0,-4.5,-1.2395500741821304,-5.73955007418213,-37.897,-32.15744992581787
32,4.0,-4.0,-1.2395500741821304,-5.23955007418213,-37.407,-32.16744992581786
33,4.0,-3.5,-1.2395500741821304,-4.73955007418213,-36.917,-32.17744992581787
34,4.0,-3.0,-1.2395500741821304,-4.23955007418213,-36.417,-32.17744992581787
35,4.0,-2.5,-1.2395500741821304,-3.73955007418213,-35.926,-32.18644992581787
36,4.0,-2.0,-1.2395500741821304,-3.23955007418213,-35.428,-32.188449925817864
37,4.0,-1.5,-1.2395500741821304,-2.73955007418213,-34.93,-32.19044992581787
38,4.0,-1.0,-1.2395500741821304,-2.23955007418213,-34.445,-32.205449925817874
39,4.0,-0.5,-1.2395500741821304,-1.7395500741821304,-33.954,-32.21444992581787
40,4.0,0.0,-1.2395500741821304,-1.2395500741821304,-33.462,-32.22244992581787
41,4.0,0.5,-1.2395500741821304,-0.7395500741821304,-32.978,-32.23844992581787
42,4.0,1.0,-1.2395500741821304,-0.23955007418213037,-32.472,-32.23244992581787
43,4.0,1.5,-1.2395500741821304,0.26044992581786963,-31.991,-32.251449925817866
44,4.0,2.0,-1.2395500741821304,0.7604499258178696,-31.513,-32.27344992581787
45,4.0,2.5,-1.2395500741821304,1.2604499258178696,-31.045,-32.30544992581787
46,4.0,3.0,-1.2395500741821304,1.7604499258178696,-30.551,-32.31144992581787
47,4.0,3.5,-1.2395500741821304,2.26044992581787,-30.089,-32.349449925817865
48,4.0,4.0,-1.2395500741821304,2.76044992581787,-29.591,-32.351449925817874
49,4.0,4.5,-1.2395500741821304,3.26044992581787,-29.134,-32.39444992581787
50,4.0,5.0,-1.2395500741821304,3.76044992581787,-28.659,-32.41944992581787
51,4.0,5.5,-1.2395500741821304,4.26044992581787,-28.215,-32.47544992581787
52,4.0,6.0,-1.2395500741821304,4.76044992581787,-27.749,-32.50944992581787
53,4.0,6.5,-1.2395500741821304,5.26044992581787,-27.301,-32.56144992581787
